d = 49.729267, x= 323, y= 224
d = 50.289165, x= 321, y= 224
d = 50.289165, x= 321, y= 224
d = 50.289165, x= 321, y= 224
d = 50.289165, x= 321, y= 224
d = 50.289165, x= 321, y= 224
d = 50.289165, x= 321, y= 224
d = 50.289165, x= 321, y= 224
d = 50.289165, x= 321, y= 224
d = 50.289165, x= 321, y= 224
d = 50.289165, x= 321, y= 224
d = 50.289165, x= 321, y= 224
d = 50.289165, x= 321, y= 224
d = 50.289165, x= 321, y= 224
d = 50.596443, x= 320, y= 224
d = 50.596443, x= 320, y= 224
d = 50.596443, x= 320, y= 224
d = 50.596443, x= 320, y= 224
d = 50.596443, x= 320, y= 224
d = 50.596443, x= 320, y= 224
d = 50.596443, x= 320, y= 224
d = 50.596443, x= 320, y= 224
d = 50.596443, x= 320, y= 224
d = 50.596443, x= 320, y= 224
d = 50.596443, x= 320, y= 224
d = 50.596443, x= 320, y= 224
d = 50.596443, x= 320, y= 224
d = 50.596443, x= 320, y= 224
d = 50.596443, x= 320, y= 224
d = 50.596443, x= 320, y= 224
d = 50.596443, x= 320, y= 224
d = 50.596443, x= 320, y= 224
d = 50.596443, x= 320, y= 224
d = 50.921509, x= 319, y= 224
d = 50.921509, x= 319, y= 224
d = 50.921509, x= 319, y= 224
d = 50.921509, x= 319, y= 224
d = 50.921509, x= 319, y= 224
d = 50.921509, x= 319, y= 224
d = 50.921509, x= 319, y= 224
d = 50.921509, x= 319, y= 224
d = 50.921509, x= 319, y= 224
d = 50.921509, x= 319, y= 224
d = 50.921509, x= 319, y= 224
d = 50.921509, x= 319, y= 224
d = 50.921509, x= 319, y= 224
d = 50.921509, x= 319, y= 224
d = 50.921509, x= 319, y= 224
d = 50.921509, x= 319, y= 224
d = 50.921509, x= 319, y= 224
d = 50.921509, x= 319, y= 224
d = 50.921509, x= 319, y= 224
d = 50.921509, x= 319, y= 224
d = 50.921509, x= 319, y= 224
d = 50.921509, x= 319, y= 224
d = 50.921509, x= 319, y= 224
d = 50.921509, x= 319, y= 224
d = 50.921509, x= 319, y= 224
d = 50.921509, x= 319, y= 224
d = 50.921509, x= 319, y= 224
d = 50.921509, x= 319, y= 224
d = 50.921509, x= 319, y= 224
d = 50.921509, x= 319, y= 224
d = 49.979996, x= 319, y= 223
d = 49.979996, x= 319, y= 223
d = 49.979996, x= 319, y= 223
d = 49.979996, x= 319, y= 223
d = 49.979996, x= 319, y= 223
d = 50.921509, x= 319, y= 224
d = 50.921509, x= 319, y= 224
d = 50.921509, x= 319, y= 224
d = 50.921509, x= 319, y= 224
d = 49.979996, x= 319, y= 223
d = 49.979996, x= 319, y= 223
d = 49.979996, x= 319, y= 223
d = 49.979996, x= 319, y= 223
d = 49.979996, x= 319, y= 223
d = 49.979996, x= 319, y= 223
d = 49.040798, x= 319, y= 222
d = 49.040798, x= 319, y= 222
d = 49.979996, x= 319, y= 223
d = 49.040798, x= 319, y= 222
d = 49.040798, x= 319, y= 222
d = 49.040798, x= 319, y= 222
d = 49.040798, x= 319, y= 222
d = 49.040798, x= 319, y= 222
d = 49.040798, x= 319, y= 222
d = 49.040798, x= 319, y= 222
d = 49.040798, x= 319, y= 222
d = 49.040798, x= 319, y= 222
d = 49.040798, x= 319, y= 222
d = 49.040798, x= 319, y= 222
d = 49.040798, x= 319, y= 222
d = 49.040798, x= 319, y= 222
d = 49.040798, x= 319, y= 222
d = 48.104053, x= 319, y= 221
d = 48.104053, x= 319, y= 221
d = 48.104053, x= 319, y= 221
d = 48.104053, x= 319, y= 221
d = 48.104053, x= 319, y= 221
d = 48.104053, x= 319, y= 221
d = 48.104053, x= 319, y= 221
d = 48.104053, x= 319, y= 221
d = 48.104053, x= 319, y= 221
d = 48.104053, x= 319, y= 221
d = 48.104053, x= 319, y= 221
d = 48.104053, x= 319, y= 221
d = 48.104053, x= 319, y= 221
d = 47.169907, x= 319, y= 220
d = 47.169907, x= 319, y= 220
d = 48.104053, x= 319, y= 221
d = 47.169907, x= 319, y= 220
d = 47.169907, x= 319, y= 220
d = 47.169907, x= 319, y= 220
d = 47.169907, x= 319, y= 220
d = 47.169907, x= 319, y= 220
d = 47.169907, x= 319, y= 220
d = 47.169907, x= 319, y= 220
d = 47.169907, x= 319, y= 220
d = 47.169907, x= 319, y= 220
d = 47.169907, x= 319, y= 220
d = 47.169907, x= 319, y= 220
d = 47.169907, x= 319, y= 220
d = 47.169907, x= 319, y= 220
d = 47.169907, x= 319, y= 220
d = 46.238514, x= 319, y= 219
d = 46.238514, x= 319, y= 219
d = 46.238514, x= 319, y= 219
d = 46.238514, x= 319, y= 219
d = 46.238514, x= 319, y= 219
d = 46.238514, x= 319, y= 219
d = 46.238514, x= 319, y= 219
d = 46.238514, x= 319, y= 219
d = 46.238514, x= 319, y= 219
d = 46.238514, x= 319, y= 219
d = 46.238514, x= 319, y= 219
d = 46.238514, x= 319, y= 219
d = 46.238514, x= 319, y= 219
d = 46.238514, x= 319, y= 219
d = 45.310043, x= 319, y= 218
d = 46.238514, x= 319, y= 219
d = 46.238514, x= 319, y= 219
d = 45.310043, x= 319, y= 218
d = 45.310043, x= 319, y= 218
d = 45.310043, x= 319, y= 218
d = 45.310043, x= 319, y= 218
d = 45.310043, x= 319, y= 218
d = 45.310043, x= 319, y= 218
d = 45.310043, x= 319, y= 218
d = 45.310043, x= 319, y= 218
d = 45.310043, x= 319, y= 218
d = 45.310043, x= 319, y= 218
d = 45.310043, x= 319, y= 218
d = 45.310043, x= 319, y= 218
d = 45.310043, x= 319, y= 218
d = 45.310043, x= 319, y= 218
d = 44.384682, x= 319, y= 217
d = 44.384682, x= 319, y= 217
d = 45.310043, x= 319, y= 218
d = 44.384682, x= 319, y= 217
d = 44.384682, x= 319, y= 217
d = 44.384682, x= 319, y= 217
d = 44.384682, x= 319, y= 217
d = 44.384682, x= 319, y= 217
d = 44.384682, x= 319, y= 217
d = 44.384682, x= 319, y= 217
d = 44.384682, x= 319, y= 217
d = 44.384682, x= 319, y= 217
d = 44.384682, x= 319, y= 217
d = 44.384682, x= 319, y= 217
d = 44.384682, x= 319, y= 217
d = 44.384682, x= 319, y= 217
d = 44.384682, x= 319, y= 217
d = 44.384682, x= 319, y= 217
d = 43.462627, x= 319, y= 216
d = 43.462627, x= 319, y= 216
d = 44.384682, x= 319, y= 217
d = 43.462627, x= 319, y= 216
d = 43.462627, x= 319, y= 216
d = 43.462627, x= 319, y= 216
d = 43.462627, x= 319, y= 216
d = 43.462627, x= 319, y= 216
d = 43.462627, x= 319, y= 216
d = 43.462627, x= 319, y= 216
d = 43.462627, x= 319, y= 216
d = 43.462627, x= 319, y= 216
d = 43.462627, x= 319, y= 216
d = 43.462627, x= 319, y= 216
d = 43.462627, x= 319, y= 216
d = 43.462627, x= 319, y= 216
d = 43.462627, x= 319, y= 216
d = 43.462627, x= 319, y= 216
d = 42.544094, x= 319, y= 215
d = 42.544094, x= 319, y= 215
d = 43.462627, x= 319, y= 216
d = 42.544094, x= 319, y= 215
d = 42.544094, x= 319, y= 215
d = 42.544094, x= 319, y= 215
d = 42.544094, x= 319, y= 215
d = 42.544094, x= 319, y= 215
d = 42.544094, x= 319, y= 215
d = 42.544094, x= 319, y= 215
d = 42.544094, x= 319, y= 215
d = 42.544094, x= 319, y= 215
d = 42.544094, x= 319, y= 215
d = 42.544094, x= 319, y= 215
d = 42.544094, x= 319, y= 215
d = 42.544094, x= 319, y= 215
d = 42.544094, x= 319, y= 215
d = 42.544094, x= 319, y= 215
d = 41.629318, x= 319, y= 214
d = 41.629318, x= 319, y= 214
d = 42.544094, x= 319, y= 215
d = 41.629318, x= 319, y= 214
d = 41.629318, x= 319, y= 214
d = 41.629318, x= 319, y= 214
d = 41.629318, x= 319, y= 214
d = 41.629318, x= 319, y= 214
d = 41.629318, x= 319, y= 214
d = 41.629318, x= 319, y= 214
d = 41.629318, x= 319, y= 214
d = 41.629318, x= 319, y= 214
d = 41.629318, x= 319, y= 214
d = 41.629318, x= 319, y= 214
d = 41.629318, x= 319, y= 214
d = 41.629318, x= 319, y= 214
d = 41.629318, x= 319, y= 214
d = 41.629318, x= 319, y= 214
d = 41.629318, x= 319, y= 214
d = 40.718548, x= 319, y= 213
d = 41.629318, x= 319, y= 214
d = 41.629318, x= 319, y= 214
d = 40.718548, x= 319, y= 213
d = 40.718548, x= 319, y= 213
d = 40.718548, x= 319, y= 213
d = 40.718548, x= 319, y= 213
d = 40.718548, x= 319, y= 213
d = 40.718548, x= 319, y= 213
d = 40.718548, x= 319, y= 213
d = 40.718548, x= 319, y= 213
d = 40.718548, x= 319, y= 213
d = 40.718548, x= 319, y= 213
d = 40.718548, x= 319, y= 213
d = 40.718548, x= 319, y= 213
d = 40.718548, x= 319, y= 213
d = 40.718548, x= 319, y= 213
d = 40.718548, x= 319, y= 213
d = 40.718548, x= 319, y= 213
d = 40.718548, x= 319, y= 213
d = 40.718548, x= 319, y= 213
d = 40.718548, x= 319, y= 213
d = 40.718548, x= 319, y= 213
d = 39.812057, x= 319, y= 212
d = 39.812057, x= 319, y= 212
d = 40.718548, x= 319, y= 213
d = 39.812057, x= 319, y= 212
d = 39.812057, x= 319, y= 212
d = 39.812057, x= 319, y= 212
d = 39.812057, x= 319, y= 212
d = 39.812057, x= 319, y= 212
d = 39.812057, x= 319, y= 212
d = 39.812057, x= 319, y= 212
d = 39.812057, x= 319, y= 212
d = 39.812057, x= 319, y= 212
d = 39.812057, x= 319, y= 212
d = 39.812057, x= 319, y= 212
d = 39.812057, x= 319, y= 212
d = 39.812057, x= 319, y= 212
d = 39.812057, x= 319, y= 212
d = 39.812057, x= 319, y= 212
d = 39.812057, x= 319, y= 212
d = 38.910152, x= 319, y= 211
d = 39.812057, x= 319, y= 212
d = 39.812057, x= 319, y= 212
d = 38.910152, x= 319, y= 211
d = 38.910152, x= 319, y= 211
d = 38.910152, x= 319, y= 211
d = 38.910152, x= 319, y= 211
d = 38.910152, x= 319, y= 211
d = 38.910152, x= 319, y= 211
d = 38.910152, x= 319, y= 211
d = 38.910152, x= 319, y= 211
d = 38.910152, x= 319, y= 211
d = 38.910152, x= 319, y= 211
d = 38.910152, x= 319, y= 211
d = 38.910152, x= 319, y= 211
d = 38.910152, x= 319, y= 211
d = 38.910152, x= 319, y= 211
d = 38.910152, x= 319, y= 211
d = 38.910152, x= 319, y= 211
d = 38.910152, x= 319, y= 211
d = 38.910152, x= 319, y= 211
d = 38.910152, x= 319, y= 211
d = 38.910152, x= 319, y= 211
d = 38.910152, x= 319, y= 211
d = 38.013157, x= 319, y= 210
d = 38.910152, x= 319, y= 211
d = 38.910152, x= 319, y= 211
d = 38.013157, x= 319, y= 210
d = 38.013157, x= 319, y= 210
d = 38.013157, x= 319, y= 210
d = 38.013157, x= 319, y= 210
d = 38.013157, x= 319, y= 210
d = 38.013157, x= 319, y= 210
d = 38.013157, x= 319, y= 210
d = 38.013157, x= 319, y= 210
d = 38.013157, x= 319, y= 210
d = 38.013157, x= 319, y= 210
d = 38.013157, x= 319, y= 210
d = 38.013157, x= 319, y= 210
d = 38.013157, x= 319, y= 210
d = 38.013157, x= 319, y= 210
d = 38.013157, x= 319, y= 210
d = 38.013157, x= 319, y= 210
d = 38.013157, x= 319, y= 210
d = 38.013157, x= 319, y= 210
d = 38.013157, x= 319, y= 210
d = 38.013157, x= 319, y= 210
d = 38.013157, x= 319, y= 210
d = 37.121422, x= 319, y= 209
d = 37.121422, x= 319, y= 209
d = 37.121422, x= 319, y= 209
d = 38.013157, x= 319, y= 210
d = 38.013157, x= 319, y= 210
d = 37.121422, x= 319, y= 209
d = 37.121422, x= 319, y= 209
d = 37.121422, x= 319, y= 209
d = 37.121422, x= 319, y= 209
d = 37.121422, x= 319, y= 209
d = 37.121422, x= 319, y= 209
d = 37.121422, x= 319, y= 209
d = 37.121422, x= 319, y= 209
d = 37.121422, x= 319, y= 209
d = 37.121422, x= 319, y= 209
d = 37.121422, x= 319, y= 209
d = 37.121422, x= 319, y= 209
d = 37.121422, x= 319, y= 209
d = 37.121422, x= 319, y= 209
d = 37.121422, x= 319, y= 209
d = 37.121422, x= 319, y= 209
d = 37.121422, x= 319, y= 209
d = 37.121422, x= 319, y= 209
d = 37.121422, x= 319, y= 209
d = 37.121422, x= 319, y= 209
d = 37.121422, x= 319, y= 209
d = 36.235340, x= 319, y= 208
d = 36.235340, x= 319, y= 208
d = 36.235340, x= 319, y= 208
d = 36.235340, x= 319, y= 208
d = 36.235340, x= 319, y= 208
d = 36.235340, x= 319, y= 208
d = 36.235340, x= 319, y= 208
d = 36.235340, x= 319, y= 208
d = 36.235340, x= 319, y= 208
d = 36.235340, x= 319, y= 208
d = 36.235340, x= 319, y= 208
d = 36.235340, x= 319, y= 208
d = 36.235340, x= 319, y= 208
d = 36.235340, x= 319, y= 208
d = 36.235340, x= 319, y= 208
d = 36.235340, x= 319, y= 208
d = 36.235340, x= 319, y= 208
d = 36.235340, x= 319, y= 208
d = 36.235340, x= 319, y= 208
d = 36.235340, x= 319, y= 208
d = 36.235340, x= 319, y= 208
d = 36.235340, x= 319, y= 208
d = 36.235340, x= 319, y= 208
d = 36.235340, x= 319, y= 208
d = 36.235340, x= 319, y= 208
d = 35.355339, x= 319, y= 207
d = 35.355339, x= 319, y= 207
d = 36.235340, x= 319, y= 208
d = 35.355339, x= 319, y= 207
d = 35.355339, x= 319, y= 207
d = 35.355339, x= 319, y= 207
d = 35.355339, x= 319, y= 207
d = 35.355339, x= 319, y= 207
d = 35.355339, x= 319, y= 207
d = 35.355339, x= 319, y= 207
d = 35.355339, x= 319, y= 207
d = 35.355339, x= 319, y= 207
d = 35.355339, x= 319, y= 207
d = 35.355339, x= 319, y= 207
d = 35.355339, x= 319, y= 207
d = 35.355339, x= 319, y= 207
d = 35.355339, x= 319, y= 207
d = 35.355339, x= 319, y= 207
d = 35.355339, x= 319, y= 207
d = 35.355339, x= 319, y= 207
d = 35.355339, x= 319, y= 207
d = 35.355339, x= 319, y= 207
d = 35.355339, x= 319, y= 207
d = 35.355339, x= 319, y= 207
d = 35.355339, x= 319, y= 207
d = 35.355339, x= 319, y= 207
d = 35.355339, x= 319, y= 207
d = 35.355339, x= 319, y= 207
d = 35.355339, x= 319, y= 207
d = 34.481880, x= 319, y= 206
d = 34.481880, x= 319, y= 206
d = 34.481880, x= 319, y= 206
d = 34.481880, x= 319, y= 206
d = 34.481880, x= 319, y= 206
d = 34.481880, x= 319, y= 206
d = 34.481880, x= 319, y= 206
d = 34.481880, x= 319, y= 206
d = 34.481880, x= 319, y= 206
d = 34.481880, x= 319, y= 206
d = 34.481880, x= 319, y= 206
d = 34.481880, x= 319, y= 206
d = 34.481880, x= 319, y= 206
d = 34.481880, x= 319, y= 206
d = 34.481880, x= 319, y= 206
d = 34.481880, x= 319, y= 206
d = 34.481880, x= 319, y= 206
d = 34.481880, x= 319, y= 206
d = 34.481880, x= 319, y= 206
d = 34.481880, x= 319, y= 206
d = 34.481880, x= 319, y= 206
d = 34.481880, x= 319, y= 206
d = 34.481880, x= 319, y= 206
d = 34.481880, x= 319, y= 206
d = 34.481880, x= 319, y= 206
d = 34.481880, x= 319, y= 206
d = 33.615471, x= 319, y= 205
d = 34.481880, x= 319, y= 206
d = 34.481880, x= 319, y= 206
d = 33.615471, x= 319, y= 205
d = 33.615471, x= 319, y= 205
d = 33.615471, x= 319, y= 205
d = 33.615471, x= 319, y= 205
d = 33.615471, x= 319, y= 205
d = 33.615471, x= 319, y= 205
d = 33.615471, x= 319, y= 205
d = 33.615471, x= 319, y= 205
d = 33.615471, x= 319, y= 205
d = 33.615471, x= 319, y= 205
d = 33.615471, x= 319, y= 205
d = 33.615471, x= 319, y= 205
d = 33.615471, x= 319, y= 205
d = 33.615471, x= 319, y= 205
d = 33.615471, x= 319, y= 205
d = 33.615471, x= 319, y= 205
d = 33.615471, x= 319, y= 205
d = 33.615471, x= 319, y= 205
d = 33.615471, x= 319, y= 205
d = 33.615471, x= 319, y= 205
d = 33.615471, x= 319, y= 205
d = 33.615471, x= 319, y= 205
d = 33.615471, x= 319, y= 205
d = 33.615471, x= 319, y= 205
d = 33.615471, x= 319, y= 205
d = 33.615471, x= 319, y= 205
d = 33.615471, x= 319, y= 205
d = 32.756680, x= 319, y= 204
d = 32.756680, x= 319, y= 204
d = 32.756680, x= 319, y= 204
d = 33.615471, x= 319, y= 205
d = 33.615471, x= 319, y= 205
d = 32.756680, x= 319, y= 204
d = 32.756680, x= 319, y= 204
d = 32.756680, x= 319, y= 204
d = 32.756680, x= 319, y= 204
d = 32.756680, x= 319, y= 204
d = 32.756680, x= 319, y= 204
d = 32.756680, x= 319, y= 204
d = 32.756680, x= 319, y= 204
d = 32.756680, x= 319, y= 204
d = 32.756680, x= 319, y= 204
d = 32.756680, x= 319, y= 204
d = 32.756680, x= 319, y= 204
d = 32.756680, x= 319, y= 204
d = 32.756680, x= 319, y= 204
d = 32.756680, x= 319, y= 204
d = 32.756680, x= 319, y= 204
d = 32.756680, x= 319, y= 204
d = 32.756680, x= 319, y= 204
d = 32.756680, x= 319, y= 204
d = 32.756680, x= 319, y= 204
d = 32.756680, x= 319, y= 204
d = 32.756680, x= 319, y= 204
d = 32.756680, x= 319, y= 204
d = 32.756680, x= 319, y= 204
d = 32.756680, x= 319, y= 204
d = 32.756680, x= 319, y= 204
d = 32.756680, x= 319, y= 204
d = 32.756680, x= 319, y= 204
d = 31.906113, x= 319, y= 203
d = 31.906113, x= 319, y= 203
d = 32.756680, x= 319, y= 204
d = 31.906113, x= 319, y= 203
d = 31.906113, x= 319, y= 203
d = 31.906113, x= 319, y= 203
d = 31.906113, x= 319, y= 203
d = 31.906113, x= 319, y= 203
d = 31.906113, x= 319, y= 203
d = 31.906113, x= 319, y= 203
d = 31.906113, x= 319, y= 203
d = 31.906113, x= 319, y= 203
d = 31.906113, x= 319, y= 203
d = 31.906113, x= 319, y= 203
d = 31.906113, x= 319, y= 203
d = 31.906113, x= 319, y= 203
d = 31.906113, x= 319, y= 203
d = 31.906113, x= 319, y= 203
d = 31.906113, x= 319, y= 203
d = 31.906113, x= 319, y= 203
d = 31.906113, x= 319, y= 203
d = 31.906113, x= 319, y= 203
d = 31.906113, x= 319, y= 203
d = 31.906113, x= 319, y= 203
d = 31.906113, x= 319, y= 203
d = 31.906113, x= 319, y= 203
d = 31.906113, x= 319, y= 203
d = 31.906113, x= 319, y= 203
d = 31.906113, x= 319, y= 203
d = 31.906113, x= 319, y= 203
d = 31.906113, x= 319, y= 203
d = 31.906113, x= 319, y= 203
d = 31.906113, x= 319, y= 203
d = 31.906113, x= 319, y= 203
d = 31.906113, x= 319, y= 203
d = 31.064449, x= 319, y= 202
d = 31.064449, x= 319, y= 202
d = 31.064449, x= 319, y= 202
d = 31.064449, x= 319, y= 202
d = 31.064449, x= 319, y= 202
d = 31.064449, x= 319, y= 202
d = 31.064449, x= 319, y= 202
d = 31.064449, x= 319, y= 202
d = 31.064449, x= 319, y= 202
d = 31.064449, x= 319, y= 202
d = 31.064449, x= 319, y= 202
d = 31.064449, x= 319, y= 202
d = 31.064449, x= 319, y= 202
d = 31.064449, x= 319, y= 202
d = 31.064449, x= 319, y= 202
d = 31.064449, x= 319, y= 202
d = 31.064449, x= 319, y= 202
d = 31.064449, x= 319, y= 202
d = 31.064449, x= 319, y= 202
d = 31.064449, x= 319, y= 202
d = 31.064449, x= 319, y= 202
d = 31.064449, x= 319, y= 202
d = 31.064449, x= 319, y= 202
d = 31.064449, x= 319, y= 202
d = 31.064449, x= 319, y= 202
d = 31.064449, x= 319, y= 202
d = 31.064449, x= 319, y= 202
d = 31.064449, x= 319, y= 202
d = 31.064449, x= 319, y= 202
d = 31.064449, x= 319, y= 202
d = 31.064449, x= 319, y= 202
d = 31.064449, x= 319, y= 202
d = 31.064449, x= 319, y= 202
d = 31.064449, x= 319, y= 202
d = 31.064449, x= 319, y= 202
d = 31.064449, x= 319, y= 202
d = 30.232433, x= 319, y= 201
d = 30.232433, x= 319, y= 201
d = 30.232433, x= 319, y= 201
d = 30.232433, x= 319, y= 201
d = 30.232433, x= 319, y= 201
d = 30.232433, x= 319, y= 201
d = 30.232433, x= 319, y= 201
d = 30.232433, x= 319, y= 201
d = 30.232433, x= 319, y= 201
d = 30.232433, x= 319, y= 201
d = 30.232433, x= 319, y= 201
d = 30.232433, x= 319, y= 201
d = 30.232433, x= 319, y= 201
d = 30.232433, x= 319, y= 201
d = 30.232433, x= 319, y= 201
d = 30.232433, x= 319, y= 201
d = 30.232433, x= 319, y= 201
d = 30.232433, x= 319, y= 201
d = 30.232433, x= 319, y= 201
d = 30.232433, x= 319, y= 201
d = 30.232433, x= 319, y= 201
d = 30.232433, x= 319, y= 201
d = 30.232433, x= 319, y= 201
d = 30.232433, x= 319, y= 201
d = 30.232433, x= 319, y= 201
d = 30.232433, x= 319, y= 201
d = 30.232433, x= 319, y= 201
d = 30.232433, x= 319, y= 201
d = 30.232433, x= 319, y= 201
d = 30.232433, x= 319, y= 201
d = 30.232433, x= 319, y= 201
d = 30.232433, x= 319, y= 201
d = 30.232433, x= 319, y= 201
d = 29.410883, x= 319, y= 200
d = 29.410883, x= 319, y= 200
d = 30.232433, x= 319, y= 201
d = 30.232433, x= 319, y= 201
d = 30.232433, x= 319, y= 201
d = 29.410883, x= 319, y= 200
d = 29.410883, x= 319, y= 200
d = 29.410883, x= 319, y= 200
d = 29.410883, x= 319, y= 200
d = 29.410883, x= 319, y= 200
d = 29.410883, x= 319, y= 200
d = 29.410883, x= 319, y= 200
d = 29.410883, x= 319, y= 200
d = 29.410883, x= 319, y= 200
d = 29.410883, x= 319, y= 200
d = 29.410883, x= 319, y= 200
d = 29.410883, x= 319, y= 200
d = 29.410883, x= 319, y= 200
d = 29.410883, x= 319, y= 200
d = 29.410883, x= 319, y= 200
d = 29.410883, x= 319, y= 200
d = 29.410883, x= 319, y= 200
d = 29.410883, x= 319, y= 200
d = 29.410883, x= 319, y= 200
d = 29.410883, x= 319, y= 200
d = 29.410883, x= 319, y= 200
d = 29.410883, x= 319, y= 200
d = 29.410883, x= 319, y= 200
d = 29.410883, x= 319, y= 200
d = 29.410883, x= 319, y= 200
d = 29.410883, x= 319, y= 200
d = 29.410883, x= 319, y= 200
d = 29.410883, x= 319, y= 200
d = 29.410883, x= 319, y= 200
d = 29.410883, x= 319, y= 200
d = 29.410883, x= 319, y= 200
d = 29.410883, x= 319, y= 200
d = 29.410883, x= 319, y= 200
d = 29.410883, x= 319, y= 200
d = 29.410883, x= 319, y= 200
d = 29.410883, x= 319, y= 200
d = 29.410883, x= 319, y= 200
d = 29.410883, x= 319, y= 200
d = 28.600698, x= 319, y= 199
d = 28.600698, x= 319, y= 199
d = 28.600698, x= 319, y= 199
d = 28.600698, x= 319, y= 199
d = 28.600698, x= 319, y= 199
d = 28.600698, x= 319, y= 199
d = 28.600698, x= 319, y= 199
d = 28.600698, x= 319, y= 199
d = 28.600698, x= 319, y= 199
d = 28.600698, x= 319, y= 199
d = 28.600698, x= 319, y= 199
d = 28.600698, x= 319, y= 199
d = 28.600698, x= 319, y= 199
d = 28.600698, x= 319, y= 199
d = 28.600698, x= 319, y= 199
d = 28.600698, x= 319, y= 199
d = 28.600698, x= 319, y= 199
d = 28.600698, x= 319, y= 199
d = 28.600698, x= 319, y= 199
d = 28.600698, x= 319, y= 199
d = 28.600698, x= 319, y= 199
d = 28.600698, x= 319, y= 199
d = 28.600698, x= 319, y= 199
d = 28.600698, x= 319, y= 199
d = 28.600698, x= 319, y= 199
d = 28.600698, x= 319, y= 199
d = 28.600698, x= 319, y= 199
d = 28.600698, x= 319, y= 199
d = 28.600698, x= 319, y= 199
d = 28.600698, x= 319, y= 199
d = 28.600698, x= 319, y= 199
d = 28.600698, x= 319, y= 199
d = 28.600698, x= 319, y= 199
d = 28.600698, x= 319, y= 199
d = 28.600698, x= 319, y= 199
d = 28.600698, x= 319, y= 199
d = 28.600698, x= 319, y= 199
d = 28.600698, x= 319, y= 199
d = 28.600698, x= 319, y= 199
d = 28.600698, x= 319, y= 199
d = 28.600698, x= 319, y= 199
d = 28.600698, x= 319, y= 199
d = 27.802877, x= 319, y= 198
d = 27.802877, x= 319, y= 198
